"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4269","should login successfully with valid credentials","firefox","Thu Oct 16 00:01:54 IST 2025","passed","Thu Oct 16 00:01:58 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3161","should show error with invalid password","webkit","Thu Oct 16 00:02:02 IST 2025","passed","Thu Oct 16 00:02:05 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3866","should show error with invalid username","firefox","Thu Oct 16 00:01:56 IST 2025","passed","Thu Oct 16 00:02:00 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","7","should return 401 with invalid credentials","webkit","Thu Oct 16 00:02:00 IST 2025","passed","Thu Oct 16 00:02:00 IST 2025","API Tests - Real World App","api/specs/users.spec.ts","",""
"","2977","should show correct error for each empty field","chromium","Thu Oct 16 00:01:52 IST 2025","passed","Thu Oct 16 00:01:55 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3709","1 - should successfully log in via API","webkit","Thu Oct 16 00:02:00 IST 2025","passed","Thu Oct 16 00:02:04 IST 2025","End-to-End Tests","e2e/specs/login-via-api.spec.ts","",""
"","4118","should show correct error for each empty field","firefox","Thu Oct 16 00:01:59 IST 2025","passed","Thu Oct 16 00:02:03 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3527","should login successfully with valid credentials","webkit","Thu Oct 16 00:02:01 IST 2025","passed","Thu Oct 16 00:02:05 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3268","should show correct error for each empty field","webkit","Thu Oct 16 00:02:05 IST 2025","passed","Thu Oct 16 00:02:08 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3427","2 - should successfully log out","webkit","Thu Oct 16 00:02:04 IST 2025","passed","Thu Oct 16 00:02:08 IST 2025","End-to-End Tests","e2e/specs/login-via-api.spec.ts","",""
"","3200","should login successfully with valid credentials","chromium","Thu Oct 16 00:01:49 IST 2025","passed","Thu Oct 16 00:01:52 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3682","2 - should successfully log out","firefox","Thu Oct 16 00:01:58 IST 2025","passed","Thu Oct 16 00:02:02 IST 2025","End-to-End Tests","e2e/specs/login-via-api.spec.ts","",""
"","101","should authenticate successfully with valid credentials","firefox","Thu Oct 16 00:01:53 IST 2025","passed","Thu Oct 16 00:01:53 IST 2025","API Tests - Real World App","api/specs/users.spec.ts","",""
"","3253","should show error with invalid username","webkit","Thu Oct 16 00:02:04 IST 2025","passed","Thu Oct 16 00:02:07 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3252","should show error with invalid password","chromium","Thu Oct 16 00:01:49 IST 2025","passed","Thu Oct 16 00:01:52 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","99","should authenticate successfully with valid credentials","webkit","Thu Oct 16 00:02:00 IST 2025","passed","Thu Oct 16 00:02:00 IST 2025","API Tests - Real World App","api/specs/users.spec.ts","",""
"","4139","1 - should successfully log in via API","firefox","Thu Oct 16 00:01:53 IST 2025","passed","Thu Oct 16 00:01:58 IST 2025","End-to-End Tests","e2e/specs/login-via-api.spec.ts","",""
"","100","should authenticate successfully with valid credentials","chromium","Thu Oct 16 00:01:49 IST 2025","passed","Thu Oct 16 00:01:49 IST 2025","API Tests - Real World App","api/specs/users.spec.ts","",""
"","15","should return 401 with invalid credentials","chromium","Thu Oct 16 00:01:49 IST 2025","passed","Thu Oct 16 00:01:49 IST 2025","API Tests - Real World App","api/specs/users.spec.ts","",""
"","3489","should show error with empty credentials","firefox","Thu Oct 16 00:01:56 IST 2025","passed","Thu Oct 16 00:01:59 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","2328","2 - should successfully log out","chromium","Thu Oct 16 00:01:53 IST 2025","passed","Thu Oct 16 00:01:55 IST 2025","End-to-End Tests","e2e/specs/login-via-api.spec.ts","",""
"","91","should return 401 with invalid credentials","firefox","Thu Oct 16 00:01:53 IST 2025","passed","Thu Oct 16 00:01:53 IST 2025","API Tests - Real World App","api/specs/users.spec.ts","",""
"","2806","should show error with empty credentials","webkit","Thu Oct 16 00:02:04 IST 2025","passed","Thu Oct 16 00:02:07 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","4117","should show error with invalid password","firefox","Thu Oct 16 00:01:54 IST 2025","passed","Thu Oct 16 00:01:58 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3356","should show error with invalid username","chromium","Thu Oct 16 00:01:49 IST 2025","passed","Thu Oct 16 00:01:53 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","2757","should show error with empty credentials","chromium","Thu Oct 16 00:01:49 IST 2025","passed","Thu Oct 16 00:01:52 IST 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3380","1 - should successfully log in via API","chromium","Thu Oct 16 00:01:49 IST 2025","passed","Thu Oct 16 00:01:53 IST 2025","End-to-End Tests","e2e/specs/login-via-api.spec.ts","",""
